id,sung,infdir,cat,baby,adult,score,rt,rt_correct,pers
BEJ30D,0,0,ad speech,.11711711,.88288289,.88288289,3.4138556,3.4138556,BEJ30
BEJ30A,1,1,id song,.8828125,.1171875,.8828125,3.231899,3.231899,BEJ30
BEJ31C,1,0,ad song,.5959596,.4040404,.4040404,4.2531581,4.2531581,BEJ31
BEJ31D,0,0,ad speech,.18446602,.815534,.815534,3.2250602,3.2250602,BEJ31
BEJ31A,1,1,id song,.91150445,.088495575,.91150445,2.8875051,2.8875051,BEJ31
BEJ31B,0,1,id speech,.69230771,.30769232,.69230771,4.4366589,4.4366589,BEJ31
HAD01C,1,0,ad song,.53846157,.46153846,.46153846,3.3386271,3.3386271,HAD01
HAD01D,0,0,ad speech,.15517241,.84482759,.84482759,3.0267422,3.0267422,HAD01
HAD01A,1,1,id song,.61194032,.38805971,.61194032,3.9933951,3.9933951,HAD01
HAD01B,0,1,id speech,.14503817,.85496181,.14503817,3.1579411,3.1579411,HAD01
HAD02C,1,0,ad song,.71317828,.28682169,.28682169,3.6910856,3.6910856,HAD02
HAD02D,0,0,ad speech,.25663716,.74336284,.74336284,3.3133049,3.3133049,HAD02
HAD02A,1,1,id song,.72388059,.27611941,.72388059,4.0652661,4.0652661,HAD02
HAD02B,0,1,id speech,.472,.528,.472,4.0447545,4.0447545,HAD02
HAD03C,1,0,ad song,.53913045,.46086955,.46086955,2.8167737,2.8167737,HAD03
HAD03D,0,0,ad speech,.24812031,.75187969,.75187969,3.7558959,3.7558959,HAD03
HAD03A,1,1,id song,.41176471,.58823532,.41176471,3.5883393,3.5883393,HAD03
HAD03B,0,1,id speech,.61068702,.38931298,.61068702,4.6229873,4.6229873,HAD03
HAD04C,1,0,ad song,.59677422,.40322581,.40322581,3.6585102,3.6585102,HAD04
HAD04D,0,0,ad speech,.055555556,.94444442,.94444442,2.7861187,2.7861187,HAD04
HAD04A,1,1,id song,.43200001,.56800002,.43200001,4.0780001,4.0780001,HAD04
HAD04B,0,1,id speech,.22608696,.77391303,.22608696,5.6110768,5.6110768,HAD04
